start	end	text
0	4920	Through the archaeological objects displayed in the pavilions, it is confirmed that our
4920	10320	land has been inhabited by the Illyrians, our predecessors, and the Albanians in continuity
10320	13920	as early back as four thousand years ago.
13920	21540	The exhibited archaeological objects are authentic-like arms, ceramics, and bronze decorating objects.
21540	26320	Since antiquity, our land was a target of various invasions and was attacked by Romans
26320	33160	and after three Illyrian-Roman wars, the country was invaded by them in the year 168 BC.
33160	39000	Nevertheless, neither the Roman invasion nor the Slavic eruption in the sixth century couldn't
39000	42080	assimilate the native population.
42080	47060	This phenomenon is an example of the ethnocultural resistance of the Albanian people who founded
47060	50560	the first state of Arbor in 1190.
50560	55400	In the antiquity pavilion are displayed the following objects.
55400	60600	Objects of pre-Civic Illyrian age, 8th until 6th century BC.
60600	66120	Civic Illyrian cultural objects, 4th until 3rd century BC.
66120	68600	Model of Libernship.
68600	73060	Illyrian ceramics, 3rd until 1st century BC.
73060	77080	Illyrian coins, 3rd until 2nd century BC.
77080	83120	The antique city of Albanopolis and some archaeological objects about its soil.
83120	85120	Statue of Artemis.
85160	87160	Illyrian arms.
87160	89160	Pyrrho, Tuta.
89160	91160	Illyrian-Roman wars.
91160	94160	Ceramics from the Middle Ages.
94160	97160	Emblem of Arbor princedom.
97160	99160	Map of Arbor princedom.
