start	end	text
0	2000	Bashkim për balimi.
2000	5500	Kështu është emërtuar sala këresore e muzell.
5500	11400	Ajo për bët nga piktura murale që rëfejnë historinë njëzët e pes vjeqare të Skënderbejl.
11400	17000	Në huje të salës janë të ekspozuara du këmbane originale të shëjkullit katërmbëdhjedh.
17000	24100	Pas beteje së nishit më tre nëtërë 1923, Skënderbejl bashk me treqinë Dibran, këthejët në kruj,
24100	30900	kumë njëzëtë të tëtë në nëtërë 1423, gre flamurë në kuqë me shipponën du krenare.
30900	34500	Në pikturë përraqitëtë të heroju në komëtari përullur paratëvamës,
34500	39000	si edhe një pjes të fjalimit që a imbajti para populi të krujës.
39000	42800	Lirin nukua sola onë, a të gjeta mes jushë.
42800	47400	Në lejhë u vendos unifikimi vendit në në udhejë që në Skënderbejl.
47400	51600	Në këtë salë janë përraqitur edhe flamu të gjashë principatave këresore,
51600	57200	kastriotëve, skuraive, dukagjinazve, aranitazve, muzakaive dhe topiaive.
57200	63200	Piktura murale në qëndërë të kësaj salë, paraqit fragmenten dhe luftrat shqiptar Osmanë.
63200	69600	Kjo pikturë qështë me e madhja në vendë, redh 108 m4 dhe përmban 300 figurina.
69600	73100	Autori kësaj vej për madhështore vështë pikturi Naji Bakali,
73100	77200	i cili punoj njëmbëdhjetë muaj e gjusëm për të realizuar a të.
77200	80600	Po këtuja në ekspuzuar shpata dhe për krenarja e Skëndërbeu,
80600	85200	originalet e të cilave në doden në muzeun historik të artit në Vjen.
85200	89600	Për njëzëtë e pes vjetë Skëndërbeu jë vjëlojmë bë njëzëtë beteja.
89600	98500	Më të spikaturat janë tre rethimet e krujes 1450, 1466, 1467,
98500	105200	beteja e torviolit mënjë 1424, albulenës mënjë 1457
105200	109200	dhe Vaikalit mënjë 1465.
109200	114700	Në këtë salë është vendosu një tabloqë që paraqet mëmentet e fundi të jetë se herojtë.
114700	119000	A tuj paraqetën ba shkluftare të përlodur, për të ba shkorë.
119000	124800	Skëndërbeu vë diqë në lejhë më shtatëm bëdhjet janar 1467.
124800	128000	Për shkakë të rezistencës aktive ndaj sundimit Osman,
128000	133600	a izuri vendin mëtërë ndësishem në historin e Shqipëris, du gëubër heroju në komtar.
133800	137600	Në ala bastër jan paraqitur disa nga kalat kresore të mesjetës,
137600	142900	kalaja e Rodonit, kalaja e Beratit, kalaja e Petrelës dhe kalaja e Krujës.
142900	147200	Dërsa në harf tregot një shtrije mëj gjerë fortifikimëve.
147200	151000	Gravura të përshkrojnë momente të betejeve të zhvillura.
