start	end	text
0	10320	The ethnographic museum is a traditional building constructed in the middle of the 18th century, 1764, by Kaplan Pasha Toptani.
10320	19040	Its architecture is oriental with a closed corridor, a type of two-story tower with stone walls 60 to 80 cm wide.
19040	23080	Baroque and Islamic paintings adorn its main rooms.
23080	29160	From the entrance, the arches of the gates with carved stones and the cobbled streets stand out.
29280	36400	Inside, many elements of the area's tradition, from lifestyle to dresses and customs, are found.
36400	42600	At the entrance, there are models of natural water sources, proving that Kruya had some of them.
42600	49520	It is even thought that the origin of the city's name comes from the word Kroi, which means Kruya in Albanian.
49560	54480	From the first floor lobby, visitors acquaint themselves with traditional farming tools,
54480	62160	mechanisms for grinding grain by hand and with water, and the process of cleaning grain for hasher, a traditional dessert.
62160	68440	One exhibit showcases the tanning or processing of leather and the subsequent production of shoes.
68440	76880	Visitors also learn about the processing of swamp straw and the production of hastras for sitting or sleeping within the premises of the house.
76920	83280	In the workshops on the first floor, visitors can observe ironworking for the family's needs and the market of Kruya,
83280	89240	as well as ceramics production, including tiles, bricks and household objects.
89240	95280	In another workshop, there is a distillery where brandy, raki and wine were produced.
95280	105360	Additionally, visitors can observe a water mill used for grinding grain, a valence used to make felt or wool, and the processing of sheep wool used to make fez.
105400	112760	The last workshop houses the olive oil mill, with many amphorae used to store olive oil for an extended period.
112760	123120	The second floor of the apartment begins with the ladies' room or the bride's rooms, where distinguishable boxes held the bride's dowry, all original to the 18th century.
123120	128720	The mural paintings from the same era adorn the walls alongside two distinct types of windows,
128720	134680	above adorned with gypsum works for light and below for ventilation, with wooden frames.
134680	146520	Next, the corridor serves as a link between the rooms, showcasing wedding dresses for both the groom and the bride, embroidered with silk, gold, silver and river pearls, inksy.
146520	154680	A notable feature is the low doors in every room, prompting a respectful gesture of lowering one's head upon entering or leaving.
154680	161200	Moving on to the men's room, the most captivating and original part of the 18th century apartment.
161200	168080	Inside, you'll find a ceiling adorned with weaponry, along with a chimney opposite to the family room wall.
168080	175360	The dome-shaped ceiling, covered with glass and holes in the walls for steam ventilation, are distinctive features.
175360	181960	Adjacent is a section on the balcony of the upstairs living room where children were seated separately to eat.
181960	191080	Additionally, you'll find the chimney that heats the room and the water for the hammam, bath, as well as the utensils or loom used for carpet weaving.
191080	198160	The kitchen boasts an original aspirator-type chimney and various ceramic, copper and wooden dishes.
198160	203680	Interestingly, the kitchen also serves as a bedroom for the elders of the family.
203720	213840	Exiting, you'll encounter carnation tools and ceiling rosettes over 300 years old, alongside the pantry and a canning room for winter fruits and vegetables.
213840	222280	In the spacious bedroom, clothes of both Catholic and Muslim traditions, originating from Kruja or other regions, are displayed.
