start	end	text
160	4560	From the architectonic point of view, this room is conceived lower and narrower.
5680	9680	The presence of irons and shackles testifies the character of this invasion.
10800	14320	The Ottomans infiltrated Europe at the end of 14th century.
15360	23760	In 1372 in Marica, in 1385 in Saver, Lushnia, in 1389 the Battle of Fusha Kosova where the
23760	29200	Albanians were distinguished in an anti-Ottoman coalition, where an Albanian from Kosova named
29200	36560	Milos Kopili succeeded in killing Sultan Maradi I. Kruja was invaded in the year 1415.
37680	44400	This room includes map of the Ottoman invasion, the war cry of Arbor Mosaic,
45520	51520	the fireplace of Castriot, a sword donated to the Ferdinand of Naples reproduction.
52640	58000	At the entrance of unification endurance room are exposed two authentic bells, 14th century.
58960	67440	George Castrioti, 1405-1468, was the youngest son of John Castrioti who was the leader of
67440	73600	the princedom in Middle Albania. His first possessions were two villages in Dibra village,
73600	80400	Senia and Gardi Pashtem. When John Castrioti was under the vassalage of Sultan Maradi II,
80400	85760	he was obliged to give away as hostages his four sons to the Sultan, and George was one of them.
86560	92000	The Ottomans sent him to the military school of Iklans. They named him Iskander, which
92000	98160	corresponds to the Christian name of Alexander. Later, they gave him the military grade Beg,
98160	101200	that is why he is known by the name Skanderbeg.
