start	end	text
0	4600	Nga pikpamja arkitektonike kjë salë ështi dheuar më ulët dhe më ngushës.
5120	9280	Pranija e prangave dhe hejkurave dëshmon prani në invazjonit të huajë.
9840	16360	Osmanët deprëtuan në Evropë në funë të shekulit 14, në vitin 1371 në Marica,
16360	20160	dhe në vitin 1380 në në Savër të Lushnjes.
20840	25400	Në vitin 1389 ushvillua beteja e fuëshë Kosovës,
25600	29760	në radët e koalicjonit anti-Osmanë u daluan shqiptardhë.
30520	36120	Në këtë betei, shqiptari nga Kosovëa, Miloš Kopili, arritit e vras Sultan Muratin e parë,
36920	40760	këruja upushtuan nga Turcid në vitin 1450.
41640	43160	Në këtë salë paraqiten.
43960	45760	Harfëta e invazjonit Osmanë.
46520	48240	Kushtrimi e arbryd mozaik.
49040	50520	Odgjaku i Kastriotëve.
51320	54360	Špata dhuruar Ferdinandit të Napolit riprodhim.
55240	60120	Gjergj Kastrioti ishte djali mëj vogelj i Gjon Kastriotiëtë prijsi të Principates.
60960	65400	Zotërimete para të ti ishënë dëv shatra në Dibër, Sinja dhe Gardhi i Poštem.
66280	72400	Gjon Kastrioti pasira në vasalitetin e Sultan Muratit II, u detrua ti apati 54 djemë,
72400	76800	dër ta edhe Gjergin të cilin Osmanëtë e prgatitën në školen e i Koglanve.
77680	82280	Osmanët idhan emrin në nëshender, që korrespondon me emrin e Krishtër Alexander.
82280	88520	Me pas ataj idhan edhe gradën ështarake Beg e për këtar su e Aynjetës iskender Beg.
