start	end	text
0	4480	Kruja vësht njunga qutejtë të mëtë përmendura në historinën shqiptarve.
4480	11040	Qutejtë ishtritë në shpatinë e malitë të krujës në lërthsinë gjashqinë të të mejtrën bini velinë e detit.
11040	19200	Gërmimet arkeologike në kështjela në krujës dëshmojnë se vendi ka qënë venbani milir që prej shhekullit të tredë paralindje se krištitë.
19360	26480	Gjetja atëju e një vendi më tëmbrojturë për banore të bëri që kruja të merterënë si për gjith krahinën si qenderë e kulturës arbërëshë,
26480	32320	ashtu si që dëshmojnë edhe objekte të një vareze të shhekullit të gjashë derin në shhekullin e të edhe.
32320	38880	Kruja përmendet përher të parë në një dokument të vitit të 179 si qenderë peshkopatë.
38960	45680	Më tëj, ajëmbe të qenderë e garnizoneve dhe guvernatorve bizantin deri në funë të shhekullit dëmbëdhjedh.
45680	52880	Kruja ishte epi qenderë e shtetit të parë feudal shqiptarë 1119 dhe dhjedh, 1255 dhe dhjedh.
52880	57280	Quteti arriti lulzimin në shhekullin 13 dhjedh, 14 dhjedh.
57280	64080	Në gjusme në dhjut të shhekullit 14 dhjedh, kruja ishte kruje qenderë e topiajve me tregeti e zaitari të zhvilluarë.
