start	end	text
160	3680	Kruija is one of the most mentioned cities in Albanian history.
4720	10640	Kruija lies on the slope of the Kruija mountain, at an altitude of 608 meters above sea level.
11760	16480	Archaeological excavation in the castle of Kruija testifies that the city has been an
16480	22560	Illyrian settlement since 3rd century BC. The village of Zgirtjes, situated in the
22560	26880	vicinities of the city, is thought to be the antique city of Albanopolis,
26880	33040	mentioned by Ptolemaeus in the 2nd century AD. The settlement of Zgirtjes was abandoned
33040	37120	at the beginning of the Middle Ages and its inhabitants found a better protected place
37120	42160	in Kruija by making it this way, the center of the Arboresh culture as it has been testified
42160	48960	also by the objects found in a cemetery dated 6th to 8th century AD. The city is mentioned
48960	55680	for the first time as an episcopal center in a document of 879. Kruija was the center of
55680	62080	the Byzantine garrisons and Byzantine governors until the end of the 12th century. Moreover,
62080	68880	Kruija was the capital of the first Albanian feudal state, 1191,215.
70000	76720	The city flourishes in the 13th and 14th centuries. In the second half of the 14th century,
76720	81280	it is the center of Topii's family with a highly developed trade and craftsmanship.
81280	86080	The houses close to the castle are the oldest which date that time.
