start	end	text
0	9000	Në përmjët objekteve arkeologike të ekspuzuarëa, vërtetot se truali unë ka qeni banuar nga iliret dhe shqiptare të në vaʃdimsi qe prej 4.000 vitës.
9000	16000	Objekte të arkeologike të ekspuzuarëa në muze, armës bukurime ceramike, bronzijeti, janë originale.
16000	23000	Qe prej lash sis, truali unë është bër objekti puštimëve të huoja dukenisur nga shekuli i tred parahereson,
23000	28000	kur vendi usulmuan nga Romakët të cilit të puštuan pas tri luftrave iliro Romakë.
29000	34000	Me gjithatë të, si puštimi Romakë edhe Dundjet Slave, nukë asimiluan populsin vendase.
34000	43000	Ky fenomen dëshmon për një shembul të larthet në kulture të shqiptareve, të cilit në funn të shekuli të dhënbëdhjet arritëm të krijojnë shtetine par të arbrejtë.
43000	46000	Në salen e lash sis jan të ekspuzuarëa.
47000	52000	Objekte të kultures i lire para qitetare, shekuli i tët dhej në të paraqrishtit.
52000	57000	Objekte të kultures i lire qitetare, shekuli i kater dhej i tred paraqrishtit.
58000	60000	Modelja njes Liburne.
60000	64000	Ceramika i lire, shekuli i dudh dhej i par paraqrishtit.
64000	68000	Qutet i antik i Albanopolit dhe objekte të gjetura në të.
68000	70000	Statuja në artemisit.
70000	72000	Arme i lire.
72000	74000	Piro, teuta.
74000	77000	Luftera dhej liro Romakë, piktur murale.
77000	81000	Objekte të kultures se hershme, shekuli i shtad dhej i tëtë.
81000	83000	Ceramika në Mesjed.
83000	85000	Bronzi në Mesjed.
86000	88000	Emblema e prinsipata sarbrit.
88000	90000	Harta e prinsipata sarbrit.
