start	end	text
160	7520	The museum was inaugurated on November 1, 1982. It was built in the Kruria Castle,
7520	13920	on the left side of its entrance. The architects of the museum were Pranvra Hoja and Piro Veso.
15040	19600	The museum was built in Kruria because it was the centre of the Albanian resistance
19600	24640	against the Ottomans in the 15th century, and its name was well known all across Europe.
25600	37200	Three sieges, 1450, 1466, 1467, failed and the Ottoman conquered the castle only in 1478.
38320	41040	The museum building has the character of a memorial.
42160	46240	In the architectural exterior, two main volumes are distinguished,
46240	50160	the extended horizontal part with the main halls and the vertical one built
50320	55840	similar to the northern typical colours. The interior is arranged so as the spaces
55840	61040	are combined successively, without interruption, according to the concept of the presentation of
61040	68400	history. History, architecture and art are perceived as one. Elements such as heavy beams
68400	76160	and stone arches are used. Artwork, stone carvings, wood carvings, iron, graphics, glass paintings,
76160	81440	play the role of supplementary historical material. As you enter the museum you will
81440	85680	find a sculptural group that presents George Castrioti in the middle of his people.
86800	92640	The warriors are not named. Their garments and headdresses demonstrate the participation of
92640	97600	all regions in the war. The woman figure shows her participation in battles.
97600	102960	Janak Pa O and Jain Kajdari are the authors of this one.
