start	end	text
0	4600	muzeu vësh ndërtuar në kështjela në krujes në tëmajtë të hurjesë së saj.
4600	10000	Aju hapë për vizitore të më njënë nëtortë të vitit njëmijënë në 1812.
10000	14200	Arkitektëtë të muzeut janë prambera Hoxha dhe Pirovaso.
14200	20800	Ky muzeu ndërtuar në kruj pas ja jo ishtë kruje cendra e rezistensës shqiptare të shëjkullit pësëmbëdhjet kundër Osmanve
20800	24200	du gëubër kështu nje jemër i njëor për të gjithë Evropën.
24400	34200	Turqite rëthuanë tri herë kështjela në krujesë në vitin 1450, 1466 dhe 1467,
34200	39400	du ke mundurtë apushtojnë atë vetëm në vitin 1478.
39400	43200	Në dërtesa e muzeut ka karakteri në një memoriali.
43200	50200	Në zhjithje në jashtë me arkitektonike, shuën du vëlimë kuresore, pjesa e shtrirë horizontalë me salatë me dha kuresore
51200	56200	e trajtuar vizualishtë sikula të shqiptarve të veri të venditë.
56200	62200	Hapsira të brendshme janë zjedhër në menyrë që mjedise të ndërthuren, du ke kryurë një hapsirë të vetme të penderprer,
62200	66200	ashtu si qëshë edhe thelbi historisë se trajtuar në këtë muze.
66200	72200	Në ndërtim janë përdorur element arkitektonikh historikë, trar të rënë në harqe guri, vejprë arti,
72200	77200	gdëndje në dru, hekuri rahur, harta grafike, piktura në gjamë me të tirë elemenënë,
78200	83200	të cile pë të tërë se bashku marinë blëre në një materialinë dimës historië.
83200	88200	Në tërësi, historia, arkitektura dhe arti në këtë muze për bëngë një të tërë.
88200	94200	Muzeu hapet me një grup skulpturoër që e parajë që djergjë kastriotinë në mestë populitë.
94200	97200	Këtu, figura të lufttarve nuk janë të emërtura,
97200	103200	për vejshetë të ture tregojnë çart pjesmarje në të gjitha krahinave në lufë për mbrojtjen e venditë.
104200	107200	Për ruas tregojnë pjesmarje në ture që të ashtunë në luftime.
107200	111200	Kjo gravur urealizuar nga skulptore të janaj pacho dhe gens hajdari.
