start	end	text
160	4560	The resistance room testifies the war and the efforts of the Albanian people after
4560	10960	Skanderbeg's death. At this time Lek Du Kajini was the military leader who for 11 years in a
10960	17840	row withstand the attacks of the Ottoman army. The falling of the Škodra fortress in 1479
17840	21840	marks also the Albanian invasion which was accompanied by many murdering and
21840	28480	destructions across the country. Around 200,000 Albanians who could not endure the Ottoman
28480	33360	violence were forced to immigrate to South Italy, the Arboresh, where they have preserved the
33360	39680	language, culture and Albanian tradition. Through the exhibited documents in the glass cases of
39680	45440	this room is testified that Skanderbeg was not only a military strategist but also a politician
45440	51600	and diplomat of the time. He had diplomatic relations with European countries like France,
51680	55280	Germany, Austria, Spain, Italy, Greece, etc.
56320	62560	Janos Unjadi a Hungarian hero and Alfons V, the king of Naples were the two best allies of
62560	69280	Skanderbeg in the anti-Ottoman war. Also, here we have recognitions of Skanderbeg from other
69280	75600	personalities of the same time. There have been over 1,000 different books written about Skanderbeg
75600	82400	in 73 countries across the world in 25 languages. The map across shows the countries where
82400	88560	publications about Skanderbeg are found. The first publication about Skanderbeg refers from
88560	95120	the years 1508 to 1510 to History of Skanderbeg by the author Marin Barleti in Latin.
96080	104160	Gjergjari Uniti, his father-in-law, leader of Albanian's uprisings, in 1432 until 1435.
105280	110240	Vrana Conti, commander of Kruria Fortress in its first siege, in 1450.
111360	116560	Mimitsa Castrioti, hero's little sister, commander of Petrol Fortress near Tirana.
117520	125040	Tanushtopia, commander of Kruria Castle in its second and third siege, in 1466 and in 1467.
126160	131920	Lekdu Kajini is the leader of the Albanian army for 11 years in a row after Skanderbeg's death.
133040	138880	Pal Kuka, Skanderbeg's diplomat. Zahariya Gropa, Skanderbeg's diplomat.
140080	145760	Gjergj Leshi the warrior that killed Balaban Pasha in Kruria's second siege in 1466.
146560	147360	you
