start	end	text
0	6000	sala e rezistencës dëshmon per luftën dhe per pjeket e populit shqiptar pas dhejkes e Skenderbël.
6000	10000	Në këtë kol drejtimin u shhtarak e u dhoj qi leg du ka gjini,
10000	14000	i cili për njëmbëdhjet vjet me rall i bëri balsulmeve të uštrive Osmanë.
14000	19000	Renja e ka lasë së shkodrës me një 1479,
19000	24000	shënon edhe pushtimin e Shqipëris që shëqerohet me një serëvrasjesh dhe shkatërimesh në të gjith vendin.
25000	29000	Reddë 200.000 shqiptarë në pamëntsi të durojnë dhunën Osmanë
29000	33000	dë durojnë të emigrojnë në Italinë jughut arbëreshet të dukeruajtuara tje gjuhën,
33000	38000	kulturën dhe zakonët shqiptare në përmihet dokumentave të ekspozuara në vitrina të kësajsale,
38000	42000	dëshmojt se Skenderbël nuk shiste vetën një strategë u shhtarak,
42000	45000	por edhe një politika në diplomatikojës.
45000	49000	Ajin bante lidje diplomatike me mjaftë shtete të Evropës si Franca,
49000	53000	Germania, Austria, Spania, Italia, Grecia etje.
54000	57000	Janos hunjadi, herëj populit Hungares dhe Alfonso i Pesë,
57000	62000	mbreti na polit ishin du aleatët më tëngusht të Skenderbëjut në luftën anti-Osmanë.
62000	67000	Në këtë sal njiesh edhe me shumë vlerisime që i bëjn personalitete të kohës,
67000	69000	figurës se Skenderbël.
69000	73000	Për Skenderbëjut në janë shkruar mbi njëmi libre të gjinive të ndryshme,
73000	77000	në 70 të tre vendë të botës, në njëzet e pesë djuht të ndryshme.
78000	87000	Gjergj Arianiti, vjehri Skenderbëjut, udhejë qësi krengritive shqiptare të vite dhe një 1432-1435.
87000	94000	Brana Konti, komandanti kalasë se kurës në rethimin e sajtë parë, vitin 1450.
94000	100000	Mamita Kastrioti, motra e vogële herojtë, komandante kalasë se Petrelës prën Tiranas.
101000	110000	Tanush Topia, komandanti kalasë se kurës në rethimin e sajtë 223-1466-1467.
110000	117000	Lek Dukagjini, i cili pas dhekesë Skenderbëjut uvun e kurëtë ushtrisë shqiptare për njëmbëdhjet vjet meral.
117000	120000	Pal Kuka, diplomati Skenderbëjut.
120000	123000	Zahari Agropa, diplomati Skenderbëjut.
123000	131000	Gjergju Leshi, luftëtari që vrau Balaban pasën në rethimin e duqtë kurës, vitin 1416-1416.
