start	end	text
0	4700	That is the name of the main hall of the museum, containing mural paintings telling us the
4700	10360	glorious victory which lasted for 25 years under Skanderbeg's leadership.
10360	14640	The mural paintings are recounting for the following events.
14640	21920	After the Battle of Nish, November 3, 1443, Skanderbeg together with 300 Albanian northern
21920	29620	horsemen returned in Kruja where on November 28, 1443, the red Albanian flag with the double-headed
29620	31740	eagle was risen.
31740	36760	In the painting, our national hero is presented knelt before his mother and a swell as a part
36760	39940	of his speech held in front of the people of Kruja saying,
39940	44920	I was not the one who brought you freedom, I found it here among you.
44920	50000	The unification under the leadership of Skanderbeg was decided in Leja.
50000	55380	Here one can find displayed also the flags of the main princedoms, castriots, skorais,
55740	64740	The mural painting in the center of the room is featuring fragments from the Albanian-Ottoman
64740	66460	Wars.
66460	73780	This painting is the biggest in our country, about 108 square meters and contains 300 characters.
73780	80360	The author of this gigantic painting is Najib Akali, who worked for about 11 and half months.
80360	85140	In the same room are exhibited the sword and spiky helmet of Skanderbeg, the original are
85140	87940	in Vienna Museum of Arms.
87940	92300	For 25 years Skanderbeg fought over 20 battles.
92300	100100	The most prominent ones are the Third Kruja Sieges in 1450, in 1466 and in 1467, the Battle
100100	109460	of Torvjali in 1444, the Battle of Albulin in 1457, and the Battle of Vaikali in 1465.
109460	113700	This painting shows the last moments of Skanderbeg's life.
113700	118900	Here are presented the tearful warriors and at the same time unified.
118900	123900	Skanderbeg died in Leja on January 17 in 1467.
123900	128780	With his activity, Skanderbeg takes the most important place in Albanian history and he
128780	131220	is our national hero.
131220	137300	In alabaster are shown some of the main fortresses from the Middle Ages, Barati, Petrela, Rodon
137300	139900	and the fortress of Kruja.
139900	144060	In the map is shown a wider distribution of the fortifications while the engravings on
144060	148260	the side are demonstrating moments from the four battles.
148260	153060	The engraving on glass features the First Kruja Siege by the Ottomans in 1450.
